Page,Status,Priority,Complexity,Notes
Events\Conference.aspx,Done,1,0,
Events\Default.aspx,Done,1,0,
Events\DevSuperpowers-In-Person.aspx,Done,1,0,
Events\Events.aspx,Done,1,0,
Events\Past.aspx,Done,1,0,
Events\Scrum-Training-Course-3-days.aspx,Done,1,0,
Events\Scrum-Training-Course.aspx,Done,1,0,
Events\SSWTechBreakfast.aspx,Done,1,0,
Events\UTSSharePoint.aspx,Done,1,0,
Events\UTSSQL.aspx,Done,1,0,
Events\VisualStudio2010_TFS2010_Sharepoint2010.aspx,Done,1,0,
ExchangeReporter\Reports\Default.aspx,Archived,2,0,
ExchangeReporter\Default.aspx,Archived,2,0,
ExchangeReporter\ReportSamples.aspx,Archived,2,0,
ExchangeReporter\UserGuide.aspx,Archived,2,0,
eXtremeEmails\Default.aspx,To-do,4,2,
eXtremeEmails\ExcelProductList\Default.aspx,To-do,4,2,
eXtremeEmails\ManageProjects.aspx,To-do,4,2,
eXtremeEmails\Reports\Default.aspx,To-do,4,2,
eXtremeEmails\userguide.aspx,To-do,4,2,
FolderBrowser.aspx,To-do,4,2,
HackDay\Default.aspx,To-do,4,2,
HealthAuditor\Default.aspx,Archived,2,0,
HealthAuditor\FxCopTutorial.aspx,Archived,2,0,
HealthAuditor\NUnitTutorial.aspx,Archived,2,0,
HealthAuditor\userguide.aspx,Archived,2,0,
Hosting\AliasForSQLServer.aspx,To-do,4,2,
Hosting\DatabaseEdit.aspx,To-do,4,2,
Hosting\Default.aspx,To-do,4,2,
Hosting\Details.aspx,To-do,4,2,
Hosting\hostingtermsconditions.aspx,Done,1,0,
LinkAuditor\Desktop\UserGuide.aspx,Archived,2,0,
LinkAuditor\Default.aspx,Archived,2,0,
LinkAuditor\HowtobeGoodLinkAuditorDailyBuildMaster.aspx,Archived,2,0,
LinkAuditor\UserGuide.aspx,Archived,2,0,
Live\Default.aspx,To-do,4,2,
Logo\AIHackDay\Default.aspx,To-do,4,2,
Logo\AngularHackDay\Default.aspx,To-do,4,2,
Logo\CodeAuditor\Default.aspx,To-do,4,2,
Logo\DataOnion\Default.aspx,To-do,4,2,
Logo\Default.aspx,To-do,4,2,
Logo\Dory\Default.aspx,To-do,4,2,
Logo\FireBootCamp\Default.aspx,To-do,4,2,
Logo\HealthCheck\Default.aspx,To-do,4,2,
Logo\LinkAuditor\Default.aspx,To-do,4,2,
Logo\MAUIHackDay\Default.aspx,To-do,4,2,
Logo\MAUIHackDay\images\Default.aspx,To-do,4,2,
Logo\NETUG\Default.aspx,To-do,4,2,
Logo\NETUG\NETUG-old\Default.aspx,To-do,4,2,
Logo\Past.aspx,To-do,4,2,
Logo\SmashingBarrier\Default.aspx,To-do,4,2,
Logo\SophieBot\Default.aspx,To-do,4,2,
Logo\SophieHub\Default.aspx,To-do,4,2,
Logo\SQLDeploy\Default.aspx,To-do,4,2,
Logo\SSRS\Default.aspx,To-do,4,2,
Logo\SSW\Default.aspx,To-do,4,2,
Logo\SSW-1994\Default.aspx,To-do,4,2,
Logo\SSW-TV\Default.aspx,To-do,4,2,
Logo\SSW-TV-2009\Default.aspx,To-do,4,2,
Logo\SSWRewards\Default.aspx,To-do,4,2,
Logo\SSWRules\Default.aspx,To-do,4,2,
Logo\SugarLearning\Default.aspx,To-do,4,2,
Logo\SugarLearning\Default_new.aspx,To-do,4,2,
Logo\TimePRO\Default.aspx,To-do,4,2,
Logo\TimePRO-old\Default.aspx,To-do,4,2,
Logo\XamarinHackDay\Default.aspx,To-do,4,2,
LookOut\Sample\Customer.aspx,Archived,2,0,
LookOut\Default.aspx,Archived,2,0,
LookOut\UserGuide.aspx,Archived,2,0,
MenuMap.aspx,To-do,4,2,
NETToolkit\01WinValidator.aspx,Archived,2,0,
NETToolkit\02WinSearch.aspx,Archived,2,0,
NETToolkit\03DataEntry.aspx,Archived,2,0,
NETToolkit\04ExceptionReporter.aspx,Archived,2,0,
NETToolkit\05WizardForms.aspx,Archived,2,0,
NETToolkit\06ConfigurationBlock.aspx,Archived,2,0,
NETToolkit\07VersionChecker.aspx,Archived,2,0,
NETToolkit\08ProgressbarsStatusforms.aspx,Archived,2,0,
NETToolkit\Default.aspx,Archived,2,0,
NETToolkit\UserGuide.aspx,Archived,2,0,
NETUG\Evaluation-Survey\Default.aspx,To-do,4,2,
NETUG\Hanselman-User-Group-Live.aspx,To-do,4,2,
NETUG\Hanselman-User-Group-Special.aspx,To-do,4,2,
NETUG\History.aspx,To-do,4,2,
NETUG\NewsletterFeedback.aspx,To-do,4,2,
NETUG\The-Agile-Olympics-with-Jesse-Houwing.aspx,To-do,4,2,
NETUG\Top-Sessions.aspx,To-do,4,2,
NETUG\UserGroupMapDirectionsCanberra.aspx,To-do,4,2,
NETUG\UserGroupMapDirectionsSydney.aspx,To-do,4,2,
NETUG\Brisbane.aspx,Done,1,0,
NETUG\Canberra.aspx,Done,1,0,
NETUG\Default.aspx,Done,1,0,
NETUG\DeveloperLinks.aspx,Done,1,0,
NETUG\EvaluationSurvey.aspx,Done,1,0,
NETUG\Melbourne.aspx,Done,1,0,
NETUG\PastSessions.aspx,Done,1,0,
NETUG\RecentSessions.aspx,Done,1,0,
NETUG\SSWUpdatePrevious.aspx,Done,1,0,
NETUG\Sydney.aspx,Done,1,0,
Newcastle\Default.aspx,Done,1,0,
News\Default.aspx,Done,1,0,
NewZealand\default.aspx,To-do,4,2,
PerformancePRO\Default.aspx,Archived,2,0,
PerformancePRO\UserGuide.aspx,Archived,2,0,
PowerSessions.aspx,To-do,4,2,
ProcessImprovementForSoftwareTeams.aspx,To-do,4,2,
Products\3rdPartySoftware.aspx,To-do,4,2,
Products\3rdPartySoftwarePriceIndicator.aspx,To-do,4,2,
Products\Awards.aspx,To-do,4,2,
Products\Default_bkp.aspx,To-do,4,2,
Products\GenerateRegistrationID.aspx,To-do,4,2,
Products\Ineta.aspx,To-do,4,2,
Products\livedemonstration.aspx,To-do,4,2,
Products\pwpmag.aspx,To-do,4,2,
Products\Source-Code-License-Agreement\Default.aspx,To-do,4,2,
Products\Tester.aspx,To-do,4,2,
Products\Default.aspx,Done,1,0,
PropertyAndEventPRO\Default.aspx,Archived,2,0,
PropertyAndEventPRO\userguide.aspx,Archived,2,0,
Redirect\downloadredirect.aspx,To-do,4,2,
Redirect\FileList.aspx,To-do,4,2,
Redirect\SSWDiagnostics.aspx,To-do,4,2,
Redirect\SSWUpdate\2005Nov\DatabaseDocsLinks.aspx,To-do,4,2,
Redirect\SSWUpdate\2005NovMini\DatabaseDocsLinks.aspx,To-do,4,2,
Redirect\SSWUpdate\2005Sep\DatabaseDocsLinks.aspx,To-do,4,2,
Registration\userguide.aspx,To-do,4,2,
Registration\default.aspx,Done,1,0,
Rewards\Default.aspx,Done,1,0,
Shop\AdapterTest.aspx,To-do,4,2,
Shop\CcvDetails.aspx,To-do,4,2,
Shop\CheckForCookies.aspx,To-do,4,2,
Shop\ClientDetailNew.aspx,To-do,4,2,
Shop\ClientDownloadHistory.aspx,To-do,4,2,
Shop\ClientInterests.aspx,To-do,4,2,
Shop\ClientInvoiceSummary.aspx,To-do,4,2,
Shop\ClientPasswordChange.aspx,To-do,4,2,
Shop\ClientRegisteredProductIndex.aspx,To-do,4,2,
Shop\ClientRegisteredProducts.aspx,To-do,4,2,
Shop\ClientRegisteredProductsByDate.aspx,To-do,4,2,
Shop\ClientRegisteredProductsByProduct.aspx,To-do,4,2,
Shop\ClientRemove.aspx,To-do,4,2,
Shop\CookiesDetection\cookiesdetection.aspx,To-do,4,2,
Shop\EnablingCookies.aspx,To-do,4,2,
Shop\encode.aspx,To-do,4,2,
Shop\LostPassword.aspx,To-do,4,2,
Shop\MessagePage.aspx,To-do,4,2,
Shop\sso.aspx,To-do,4,2,
Shop\Userguide\ShoppingProcessScreenShot.aspx,To-do,4,2,
Shop\Userguide\UserGuideFlash.aspx,To-do,4,2,
Shop\UserGuide.aspx,To-do,4,2,
Shop\UserGuideFlash.aspx,To-do,4,2,
Shop\default.aspx,Done,1,0,
Shop\EditDetail.aspx,Done,1,0,
SQLAuditor\Default.aspx,Archived,2,0,
SQLAuditor\SampleReport.aspx,Archived,2,0,
SQLAuditor\userguide.aspx,Archived,2,0,
SQLAuditor\UserguideWizards.aspx,Archived,2,0,
SQLAuditor\VoteResult.aspx,Redirect,4,0,
SQLDeploy\developerguide.aspx,Archived,2,0,
SQLDeploy\ExeMode.aspx,Archived,2,0,
SQLDeploy\ExistingDataBase.aspx,Archived,2,0,
SQLDeploy\IntegrationMode.aspx,Archived,2,0,
SQLDeploy\userguide.aspx,Archived,2,0,
SQLDeploy\Default.aspx,Done,1,0,
SQLReportingServicesAuditor\Default.aspx,Archived,2,0,
SQLReportingServicesAuditor\PostInstallation.aspx,Archived,2,0,
SQLReportingServicesAuditor\UserGuide.aspx,Archived,2,0,
SQLTotalCompare\Default.aspx,Archived,2,0,
SQLTotalCompare\userguide.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\WaitingForSugggestionsToMoveToSharePoint\VSGallery.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\activesync.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\antispyware.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\ASPNET.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\Asterix.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\Bing.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\blinq.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\Camtasia.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\CRM.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\dataanalyzer.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\Default.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\dnn.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\DOTNET.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\DotNetNuke.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\DynamicData.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\exchange.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\Expression.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\ExpressionBlend.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\ExpressionSuite.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\Facebook.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\Foursquare.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\google.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\GoogleAnalytics.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\Hohm.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\HyperV.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\iis.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\Instyler.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\isaserver.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\LINQ.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\LiveMeeting.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\LiveWriter.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\mediacenter.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\MediaPlayer.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\Microsoft_Project.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\MSAjax.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\MSDN.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\MSForm.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\MSNMessenger.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\MSWebsite.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\MYOB.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\NetTiers.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\PerformancePoint.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\Plaxo.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\Pluralsight.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\Project.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\ProjectServer.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\Project_Server.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\Project_Server_Integration.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\Project_TFS.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\QueryDesigner.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\ReportingServiceReportBuilder.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\ReportingServices.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\RescueTime.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\RulesToBetterXDA.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\sharepoint.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\Silverlight.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\Skype.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\SMH.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\Snagit.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\SourceSafe.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\sqlserver.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\SQLserverOLAP.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\SugarSync.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\TeamCompanion.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\TeamFoundationServer.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\TeamFoundationServer2010.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\Telerik.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\TelerikASPWeb.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\TelerikSharePointAccelerationKit.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\TelerikTests.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\TelerikTestStudio.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\TelerikWindowsForms.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\terminalservices.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\TFS-Azure.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\TFSDebuggerCanvas.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\TFSSidekicks.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\TFS_TWA-Portal.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\TFS_VSScrumProcess.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\Tweetdeck.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\vbuildpro.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\VirtualEarth.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\VirtualPC.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\Vista.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\VisualStudio.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\VSBuildandDeploy.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\VSTT.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\WhatsApp.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\windows.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\windows2008r2.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\windows7.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\WindowsDesktopSearch.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\WindowsMobile.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\WindowsPhotoViewer.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\Wise.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\WPF.aspx,Archived,2,0,
Standards\BetterSoftwareSuggestions\Apple.aspx,Redirect,4,0,
Standards\BetterSoftwareSuggestions\Internetexplorer.aspx,Redirect,4,0,
Standards\BetterSoftwareSuggestions\Iphone.aspx,Redirect,4,0,
Standards\BetterSoftwareSuggestions\MSAccess.aspx,Redirect,4,0,
Standards\BetterSoftwareSuggestions\Office.aspx,Redirect,4,0,
Standards\BetterSoftwareSuggestions\outlook.aspx,Redirect,4,0,
Standards\BetterSoftwareSuggestions\outlookexpress.aspx,Redirect,4,0,
Standards\BetterSoftwareSuggestions\Scrum.aspx,Redirect,4,0,
Standards\BetterSoftwareSuggestions\sharepointteamservices.aspx,Done,1,0,
Standards\Courseware\AccessToNETRoadshow2004\Session_1a_-_MakingAPlan\Default.aspx,Done,1,0,
Standards\Courseware\AccessToNETRoadshow2004\Session_1b_-_ExtremeProgrammingForNETDevelopers\Default.aspx,Done,1,0,
Standards\Courseware\AccessToNETRoadshow2004\Session_1c_-_Access97to2003\Default.aspx,Done,1,0,
Standards\Courseware\AccessToNETRoadshow2004\Session_2_-_AccessToSQL_(Upsizing)\Default.aspx,Done,1,0,
Standards\Courseware\AccessToNETRoadshow2004\Session_3_-_AccessToReportingServices\Default.aspx,Done,1,0,
Standards\Courseware\AccessToNETRoadshow2004\Session_4_-_AccessToNET\Default.aspx,Done,1,0,
Standards\CRM\CRM4_HowToSendACrmNewsletter.aspx,Redirect,4,0,
Standards\CRM\RulestoBetterCRMMailMergeTemplate.aspx,Redirect,4,0,
Standards\DeveloperAccess\AccessShortcutKeys.aspx,Archived,2,0,
Standards\DeveloperAccess\attachmentmanageroverview.aspx,Archived,2,0,
Standards\DeveloperAccess\howtodomailmergeinwordusingaccessdata.aspx,Archived,2,0,
Standards\DeveloperAccess\howtoimproveaccessperformance.aspx,Archived,2,0,
Standards\DeveloperAccess\WhatToDoAfterCrash.aspx,Archived,2,0,
Standards\DeveloperAccess\whydatarenovator.aspx,Archived,2,0,
Standards\DeveloperAccess\Default.aspx,Done,1,0,
Standards\DeveloperDotNet\Resources\Northwind\Default.aspx,Done,1,0,
Standards\DeveloperDotNet\Resources\Default.aspx,Done,1,0,
Standards\DeveloperDotNet\DotNetStandard_ObjectNaming.aspx,Archived,2,0,
Standards\DeveloperDotNet\DotNetStandard_ProjectNaming.aspx,Archived,2,0,
Standards\DeveloperDotNet\EditXMLPage.aspx,Archived,2,0,
Standards\DeveloperDotNet\GuidelinesForReporting.aspx,Archived,2,0,
Standards\DeveloperDotNet\GuidelinesForReportingRichClient.aspx,Archived,2,0,
Standards\DeveloperDotNet\GuidelinesForReportingWebClient.aspx,Archived,2,0,
Standards\DeveloperDotNet\InteropInDotNetAndHowToAvoidDLLHell.aspx,Archived,2,0,
Standards\DeveloperDotNet\SSWNorthwindArchitectureSupportingWebServices.aspx,Archived,2,0,
Standards\DeveloperDotNet\UsingTFSToEditWebsite.aspx,Archived,2,0,
Standards\DeveloperDotNet\Default.aspx,Done,1,0,
Standards\DeveloperDotNet\HowToMigrate.aspx,Done,1,0,
Standards\DeveloperGeneral\AccessTools.aspx,Archived,2,0,
Standards\DeveloperGeneral\CreatingScheduledJobsOnAServer.aspx,Archived,2,0,
Standards\DeveloperGeneral\ExchangeServer.aspx,Archived,2,0,
Standards\DeveloperGeneral\internetexplorertools.aspx,Archived,2,0,
Standards\DeveloperGeneral\LaptopTools.aspx,Archived,2,0,
Standards\DeveloperGeneral\netTools.aspx,Archived,2,0,
Standards\DeveloperGeneral\networktools.aspx,Archived,2,0,
Standards\DeveloperGeneral\outlooktools.aspx,Archived,2,0,
Standards\DeveloperGeneral\pocketpctools.aspx,Archived,2,0,
Standards\DeveloperGeneral\SilverlightTools.aspx,Archived,2,0,
Standards\DeveloperGeneral\SQLservertools.aspx,Archived,2,0,
Standards\DeveloperGeneral\SuburbCombo.aspx,Archived,2,0,
Standards\DeveloperGeneral\TeamFoundationServerPowerTools.aspx,Archived,2,0,
Standards\DeveloperGeneral\TFS.aspx,Archived,2,0,
Standards\DeveloperGeneral\TFSTools.aspx,Archived,2,0,
Standards\DeveloperGeneral\TheBest3rdPartyTools.aspx,Archived,2,0,
Standards\DeveloperGeneral\TheBestWebsites.aspx,Archived,2,0,
Standards\DeveloperGeneral\VisualStudioTools.aspx,Archived,2,0,
Standards\DeveloperGeneral\webdevelopmenttools.aspx,Archived,2,0,
Standards\DeveloperGeneral\WebdevelopmentToolsASPNET.aspx,Archived,2,0,
Standards\DeveloperGeneral\Websites.aspx,Archived,2,0,
Standards\DeveloperGeneral\windowsdevelopmenttools.aspx,Archived,2,0,
Standards\DeveloperGeneral\WindowsMobile.aspx,Archived,2,0,
Standards\DeveloperGeneral\WindowsTools.aspx,Archived,2,0,
Standards\DeveloperGeneral\WinformControls.aspx,Archived,2,0,
Standards\DeveloperGeneral\Default.aspx,Done,1,0,
Standards\DeveloperGeneral\Favourite3rdPartyTools.aspx,Done,1,0,
Standards\DeveloperInternet\216color.aspx,Archived,2,0,
Standards\DeveloperInternet\howtofixbrokenlinks.aspx,Archived,2,0,
Standards\DeveloperInternet\HowToFTPWithIExplorer.aspx,Archived,2,0,
Standards\DeveloperInternet\HowToFTPWithIExplorerpassword.aspx,Archived,2,0,
Standards\DeveloperInternet\StandardWebColours.aspx,Archived,2,0,
Standards\DeveloperInternet\Default.aspx,Done,1,0,
Standards\DeveloperSharePoint\VMDevelopment.aspx,Archived,2,0,
Standards\DeveloperSQLReportingServices\SQLServerReportingService_1_ReportsNaming.aspx,Archived,2,0,
Standards\DeveloperSQLReportingServices\Default.aspx,Done,1,0,
Standards\DeveloperSQLServer\Resources\NorthwindMDB\Default.aspx,Done,1,0,
Standards\DeveloperSQLServer\creatingasqlserverprofilertrace.aspx,Archived,2,0,
Standards\DeveloperSQLServer\dataschemastandard.aspx,Archived,2,0,
Standards\DeveloperSQLServer\setupsqlserverserviceforreplication.aspx,Archived,2,0,
Standards\DeveloperSQLServer\SQLServerStandard_3_StoredProcedureFormatting.aspx,Archived,2,0,
Standards\DeveloperSQLServer\SQLServerStandard_6_DatabaseDesignStandards.aspx,Archived,2,0,
Standards\DeveloperSQLServer\SSWStandardForUpsizing.aspx,Archived,2,0,
Standards\DeveloperSQLServer\SQLServerStandard_1_ObjectNaming.aspx,Redirect,4,0,
Standards\DeveloperSQLServer\SQLServerStandard_2_StoredProcedureNaming.aspx,Redirect,4,0,
Standards\DeveloperSQLServer\SQLServerStandard_4_IndexesNaming.aspx,Redirect,4,0,
Standards\DeveloperSQLServer\SQLServerStandard_5_RelationshipNaming.aspx,Redirect,4,0,
Standards\DeveloperSQLServer\Default.aspx,Done,1,0,
Standards\DeveloperXSL\Default.aspx,Done,1,0,
Standards\Forms\ConsultingOrderTermsConditions.aspx,Done,1,0,
Standards\Forms\Default.aspx,Done,1,0,
Standards\Forms\SourceCodeLicenseAgreement.aspx,Done,1,0,
Standards\Rules\DeveloperSQLReportingServices\SQLServerReportingService_1_ReportsNaming.aspx,Archived,2,0,
Standards\Rules\DeveloperSQLReportingServices\Default.aspx,Done,1,0,
Standards\Rules\CreatingATimeDimensionIn10EasySteps.aspx,Archived,2,0,
Standards\Rules\dataschemastandard.aspx,Archived,2,0,
Standards\Rules\GoodThingsBadThings.aspx,Archived,2,0,
Standards\Rules\MakingOLAPReports.aspx,Archived,2,0,
Standards\Rules\RulesToBetterAccessApplications.aspx,Archived,2,0,
Standards\Rules\RulesToBetterASPDotNet.aspx,Archived,2,0,
Standards\Rules\RulesToBetterBusinessIntelligence.aspx,Archived,2,0,
Standards\Rules\RulesToBetterBusinessIntelligenceResourceSetup.aspx,Archived,2,0,
Standards\Rules\RulestoBetterCommandLines.aspx,Archived,2,0,
Standards\Rules\RulesToBetterConnectionStrings.aspx,Archived,2,0,
Standards\Rules\RulesToBetterCRM3To4Migration.aspx,Archived,2,0,
Standards\Rules\RulestoBetterDotNetNuke.aspx,Archived,2,0,
Standards\Rules\RulesToBetterExchangeServer.aspx,Archived,2,0,
Standards\Rules\RulesToBetterISAServer.aspx,Archived,2,0,
Standards\Rules\RulesToBetterLargeDotNetProjects.aspx,Archived,2,0,
Standards\Rules\RulesToBetterMicrosoftCRMDataSynchronization.aspx,Archived,2,0,
